customer_id,name,email,segment,signup_date,monthly_usage_hours,monthly_ai_assist_calls,churned
5d93f11f998a,Jordan Nguyen,jordan.nguyen@demo.org,smb,2023-09-08,8.5,41,0
5ced2e595c1b,Jordan Davis,jordan.davis@demo.org,self-serve,2023-01-31,4.2,9,0
c81985c6c39b,Riley Chen,riley.chen@example.com,self-serve,2024-04-04,0,0,1
49819ba9e8e8,Alex Lopez,alex.lopez@example.com,self-serve,2023-08-09,4.7,2,1
2ce987a9985d,Morgan Lopez,morgan.lopez@sample.dev,smb,2023-02-14,7.7,12,0
0206f9a3300e,Jordan Chen,jordan.chen@example.com,self-serve,2024-09-25,4.4,0,0
ef7d978ef807,Avery Garcia,avery.garcia@sample.dev,smb,2023-03-23,10.5,9,0
a85d5d2c0624,Morgan Kim,morgan.kim@example.com,self-serve,2023-08-03,1.5,0,0
415e1383e04a,Rowan Kim,rowan.kim@demo.org,smb,2023-09-08,9.0,33,0
220ffe31961b,Quinn Garcia,quinn.garcia@sample.dev,smb,2023-02-27,8.1,27,0
7863f956ae9f,Jordan Garcia,jordan.garcia@sample.dev,enterprise,2024-08-03,21.2,73,0
1f9002271013,Jamie Kim,jamie.kim@sample.dev,self-serve,2023-09-10,2.9,0,0
44f34877dffd,Rowan Martin,rowan.martin@example.com,self-serve,2023-05-22,2.1,4,1
b67ae52f0987,Taylor Kim,taylor.kim@sample.dev,smb,2024-03-08,6.4,19,0
11fc7b239c4f,Quinn Brown,quinn.brown@sample.dev,enterprise,2023-01-12,19.6,75,0
582ad9892248,Morgan Patel,morgan.patel@sample.dev,self-serve,2023-06-11,0,12,0
212041a59145,Quinn Kim,quinn.kim@demo.org,smb,2023-04-19,9.2,18,0
fb1ff97af426,Riley Kim,riley.kim@example.com,self-serve,2023-06-15,0,0,0
bd1ee363aaf6,Rowan Lopez,rowan.lopez@sample.dev,self-serve,2023-04-25,6.7,0,0
006923d72059,Riley Nguyen,riley.nguyen@example.com,self-serve,2024-08-03,3.8,3,0
04c032dd6f1a,Quinn Kim,quinn.kim@demo.org,self-serve,2024-05-01,4.1,3,0
c81dd7ed250c,Alex Garcia,alex.garcia@sample.dev,enterprise,2023-07-25,19.5,70,0
8131827d72b8,Jamie Chen,jamie.chen@example.com,self-serve,2023-09-11,3.3,13,0
90a787d78ea6,Rowan Garcia,rowan.garcia@example.com,self-serve,2023-03-02,3.6,26,0
e06762697bea,Quinn Garcia,quinn.garcia@demo.org,self-serve,2024-05-12,3.2,10,0
9cf136826c5d,Rowan Lee,rowan.lee@sample.dev,self-serve,2024-04-29,3.5,0,1
f0e3d2fa92c3,Morgan Martin,morgan.martin@sample.dev,self-serve,2023-02-25,0.3,0,1
9845fb3858c6,Morgan Patel,morgan.patel@sample.dev,self-serve,2023-07-14,1.9,3,0
31246f28af44,Riley Patel,riley.patel@example.com,self-serve,2024-07-17,5.4,13,0
e5ff08359703,Jordan Garcia,jordan.garcia@example.com,self-serve,2024-05-12,0,7,0
398c632e0c18,Alex Nguyen,alex.nguyen@demo.org,enterprise,2023-09-29,23.1,72,0
da7612b0321f,Quinn Lee,quinn.lee@example.com,self-serve,2023-10-31,3.1,8,0
c279032b8425,Morgan Nguyen,morgan.nguyen@demo.org,self-serve,2024-05-03,0,4,1
8fa9f8a02790,Jordan Kim,jordan.kim@demo.org,self-serve,2023-03-11,2.3,0,1
39369dd750e3,Riley Davis,riley.davis@sample.dev,smb,2024-09-26,10.5,32,0
a7731ff0c8d7,Casey Garcia,casey.garcia@sample.dev,smb,2023-11-18,8.1,35,0
24bd8654cbdc,Jamie Lopez,jamie.lopez@example.com,enterprise,2023-03-16,22.8,80,0
7f793566e143,Jordan Chen,jordan.chen@example.com,self-serve,2023-09-29,4.2,11,1
aa71689d74c8,Morgan Brown,morgan.brown@demo.org,self-serve,2024-07-10,2.2,0,0
ff0ea8dad29a,Quinn Nguyen,quinn.nguyen@example.com,smb,2024-07-21,7.1,39,0
a32550081787,Casey Patel,casey.patel@sample.dev,enterprise,2024-07-20,20.9,86,0
8ae23958a7fb,Riley Brown,riley.brown@sample.dev,smb,2023-09-15,11.2,14,1
6f450becf3eb,Casey Nguyen,casey.nguyen@demo.org,self-serve,2023-05-14,2.0,0,0
79cad00dd573,Alex Chen,alex.chen@example.com,self-serve,2023-03-19,5.9,0,1
75cb8c838c99,Morgan Davis,morgan.davis@example.com,smb,2024-03-16,9.2,31,0
0e4c77b5e03c,Morgan Garcia,morgan.garcia@demo.org,smb,2023-04-16,6.4,35,0
d4dd256182c5,Taylor Garcia,taylor.garcia@sample.dev,enterprise,2023-07-01,20.3,78,0
b209e15560c1,Alex Garcia,alex.garcia@example.com,self-serve,2023-04-21,2.6,6,0
21a836a5c3ba,Jamie Lopez,jamie.lopez@sample.dev,self-serve,2023-08-22,3.5,19,0
e9dbbe87254a,Jordan Brown,jordan.brown@example.com,self-serve,2024-06-05,0,21,0
14854d4135ee,Jordan Brown,jordan.brown@sample.dev,self-serve,2023-09-29,5.6,8,0
9ef284075e83,Alex Davis,alex.davis@demo.org,enterprise,2023-04-29,18.0,88,0
c860ba6fd6db,Alex Nguyen,alex.nguyen@example.com,smb,2024-07-05,6.2,3,0
b57a39129bd3,Morgan Martin,morgan.martin@sample.dev,self-serve,2023-12-05,0.9,0,1
14f32fbd21b9,Quinn Brown,quinn.brown@sample.dev,smb,2023-12-01,6.6,29,0
b24b78d9482e,Alex Kim,alex.kim@example.com,smb,2023-11-05,4.9,35,0
608f25651bdf,Alex Davis,alex.davis@sample.dev,smb,2023-11-26,5.9,27,0
7232072aac85,Taylor Patel,taylor.patel@demo.org,self-serve,2024-09-26,1.1,20,0
c61c66e11e1e,Casey Garcia,casey.garcia@example.com,smb,2023-05-31,9.5,26,0
91520106e2ae,Jamie Martin,jamie.martin@example.com,enterprise,2024-08-12,21.1,94,0
a556d093dae8,Taylor Nguyen,taylor.nguyen@demo.org,enterprise,2023-04-20,20.2,73,0
a1d91b3d0864,Quinn Lee,quinn.lee@sample.dev,self-serve,2023-09-13,3.9,2,1
a58e482c81f6,Quinn Chen,quinn.chen@demo.org,smb,2024-03-29,5.6,14,0
66af36dcc717,Jamie Kim,jamie.kim@sample.dev,smb,2024-05-01,4.8,30,0
b13c382c4f45,Quinn Lee,quinn.lee@sample.dev,smb,2023-10-09,5.1,30,0
8615f7b6fd49,Morgan Chen,morgan.chen@example.com,self-serve,2023-06-04,3.4,20,0
4a28db254956,Alex Martin,alex.martin@demo.org,self-serve,2024-04-22,1.8,8,0
3a4336b85c0e,Avery Davis,avery.davis@sample.dev,self-serve,2023-01-07,4.6,2,0
ba812c55dab1,Quinn Chen,quinn.chen@sample.dev,smb,2023-08-14,6.4,25,0
a0ec6acbd525,Morgan Martin,morgan.martin@sample.dev,smb,2024-04-23,12.9,11,0
1f7cf783fbd5,Rowan Davis,rowan.davis@example.com,smb,2023-03-27,7.3,20,0
b89a113215f7,Casey Martin,casey.martin@sample.dev,self-serve,2024-04-10,1.4,19,0
ebc250c6804e,Casey Patel,casey.patel@example.com,self-serve,2024-07-06,7.7,12,0
d98288a25809,Avery Nguyen,avery.nguyen@sample.dev,enterprise,2023-07-24,21.5,68,0
9b3b50de3276,Jordan Davis,jordan.davis@demo.org,enterprise,2024-04-21,18.9,63,0
e1d4ecf1e5b3,Jordan Kim,jordan.kim@sample.dev,enterprise,2023-04-21,16.0,69,0
a43737fb1198,Alex Garcia,alex.garcia@demo.org,self-serve,2023-09-06,5.8,15,0
debaccb70120,Jordan Davis,jordan.davis@demo.org,smb,2023-12-22,5.1,21,1
15a524b409d2,Morgan Nguyen,morgan.nguyen@sample.dev,smb,2024-05-16,12.0,40,0
7da44c364fb4,Taylor Martin,taylor.martin@demo.org,self-serve,2024-06-18,4.5,3,0
4dd757019a78,Jamie Lee,jamie.lee@example.com,self-serve,2024-08-29,2.5,24,0
d7b1c5ce7aab,Casey Lee,casey.lee@sample.dev,self-serve,2024-04-20,0.3,0,0
8fbb7fc12b12,Morgan Kim,morgan.kim@demo.org,self-serve,2023-12-30,3.5,0,0
0708a0a729ab,Casey Chen,casey.chen@example.com,self-serve,2023-07-15,5.7,13,0
6d59080ccc05,Jamie Lee,jamie.lee@sample.dev,self-serve,2023-01-18,4.2,8,0
9b7f2e4c989e,Rowan Lopez,rowan.lopez@sample.dev,self-serve,2024-06-27,0,33,0
